,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,coeffs,controls,method,maxCorrMinDelta
14946,89777,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107,1435909510624,Andrey,1435909460,0.360613865987,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6515945058,55.7615534958,7763-160,151-219,25002,0.981682078785,1.0,byCorr,1.0
15612,90731,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97,1435913230352,Anna,1435909946,0.229995167846,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6534604836,55.7600135431,7763-160,151-219,25002,0.943293921613,1.0,byCorr,1.0
15210,90041,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107,1435910453072,Andrey,1435910406,0.324781855319,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.652124822,55.7611381528,7763-160,151-219,25002,0.98452306979,1.0,byCorr,1.0
15348,90179,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101,1435910951728,Andrey,1435910902,0.321004798879,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652180726,55.7610943725,7763-160,151-219,25002,0.968808724704,1.0,byCorr,1.0
15560,90529,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-57,1435912827712,Anna,1435909460,0.91786616124,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6418563083,55.7668699031,7763-640,151-219,25002,0.942924735753,1.0,byCorr,1.0
15156,89987,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-69,1435910075857,Andrey,1435909946,0.986896357479,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6401198112,55.7669967192,7763-640,151-219,25002,0.933159819496,1.0,byCorr,1.0
15827,90946,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-57,1435913775545,Anna,1435910406,0.911224686062,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6420233394,55.7668575304,7763-640,151-219,25002,0.938403332328,1.0,byCorr,1.0
15972,91091,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-55,1435914281398,Anna,1435910902,0.925892559413,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6416544467,55.7668848558,7763-640,151-219,25002,0.926788899693,1.0,byCorr,1.0
17772,100805,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81,1435909770612,Andrey,1435909691,0.553862033537,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6502917478,55.7623885887,7763-640,219-151,25002,0.963235778864,1.0,byCorr,1.0
17923,100956,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83,1435910280923,Andrey,1435910194,0.567802125145,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6504928345,55.7622260076,7763-640,219-151,25002,0.955640710505,1.0,byCorr,1.0
18068,101101,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83,1435910743434,Andrey,1435910663,0.586891773407,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6507682431,55.7620033823,7763-640,219-151,25002,0.961336662842,1.0,byCorr,1.0
18314,101347,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-77,1435913079748,Anna,1435909691,0.976863291929,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6562100633,55.757387418,7763-160,219-151,25002,0.897475143539,1.0,byCorr,1.0
18533,101566,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-83,1435913594329,Anna,1435910194,0.992194170312,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564353126,55.7572102213,7763-160,219-151,25002,0.902137768719,1.0,byCorr,1.0
18721,101754,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71,1435914043636,Anna,1435910663,0.978860821064,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.656239412,55.7573643303,7763-160,219-151,25002,0.925569162637,1.0,byCorr,1.0
